Frame,Arm Reach,Cadence,Objects,Area Size
160,,1.0,4195,510545.5
161,,1.0,5688,238192.0
162,,1.0,5186,395784.0
163,,1.0,5094,249926.5
164,,1.0,5336,259779.0
165,,1.0,5417,435854.0
166,,1.0,5232,278338.0
167,,1.0,4737,378686.5
168,0.01832990472989372,11.0,4945,245546.0
169,,11.0,4713,263383.5
170,,11.0,5200,285618.0
171,,11.0,5400,271205.0
172,,11.0,5661,284971.0
173,,11.0,6158,322524.0
174,,11.0,5375,329154.5
175,,11.0,6486,243583.0
176,,11.0,6733,233648.0
177,,11.0,6732,260954.5
178,,11.0,7744,239372.5
179,0.03878490013178147,11.0,7402,284618.5
180,,11.0,7783,263104.0
181,0.029139696880618318,2.0,7920,273057.0
182,0.026094112356169,1.0,7512,319388.0
183,,1.0,7955,324325.5
184,0.040491761079875205,2.0,8386,266381.5
185,0.03167032694306813,1.0,8632,306367.5
186,0.032579815961925794,1.0,9000,321769.0
187,0.04023398044074758,1.0,9271,326458.5
188,0.04456816080537646,1.0,9456,268551.5
189,0.04704914595620713,1.0,9421,258961.5
190,0.043308790041800535,1.0,9077,281022.5
191,0.048297474426831744,1.0,7913,433539.0
192,0.06154578907254188,1.0,8621,464312.0
193,0.011805899935136265,1.0,8152,498555.5
194,0.026523792338624258,1.0,7959,489021.0
195,,1.0,7678,299550.0
196,0.05901801407456015,2.0,7438,280603.5
197,,2.0,7393,256690.0
198,,2.0,6937,239670.0
199,0.01946003116522279,3.0,7049,187020.0
200,0.03418007116137846,1.0,7006,233778.0
201,0.031033671144034818,1.0,6961,161427.0
202,0.02499031188456774,1.0,7058,177405.5
203,0.019677242507910763,1.0,6927,211022.0
204,0.026389196227144366,1.0,6927,249822.0
205,0.06392999422605074,1.0,6456,289852.0
206,0.06427939421786395,1.0,6129,402820.5
207,0.07143733737242654,1.0,5802,455330.5
208,0.07268649335130321,1.0,5652,479754.0
209,0.07400751183894559,1.0,5772,437079.0
210,0.08835269525666015,1.0,5502,462315.5
211,0.09855141194538738,1.0,5505,439102.5
212,0.11123296743658848,1.0,5496,443713.0
213,0.08917752568164103,1.0,5573,441685.5
214,0.06664219488224842,1.0,5352,441826.0
215,,1.0,5560,437370.5
216,,1.0,5738,427540.5
217,0.08831017645934428,3.0,5663,420849.0
218,0.12398992677884671,1.0,5541,420685.5
219,0.11770758542012906,1.0,5288,424770.5
220,0.08334835515563202,1.0,5205,601480.5
221,0.04930021471941342,1.0,5473,639115.5
222,0.030883295115888634,1.0,5635,718354.5
223,0.0650369303344266,1.0,5649,423030.0
224,0.03455369674652321,1.0,5944,602117.5
225,0.02953491240336278,1.0,6065,398202.0
226,0.047716249553842516,1.0,6094,389462.5
227,0.032338951795584735,1.0,6157,376775.0
228,0.031169807271622826,1.0,6182,368173.0
229,0.030758620191376818,1.0,6065,401546.0
230,0.031868431643179276,1.0,6111,382161.5
231,0.03631108286984381,1.0,6075,389851.0
232,0.030998391495748533,1.0,6136,365830.5
233,0.02869368265922625,1.0,6107,377261.5
234,,1.0,6770,284027.0
235,0.0387148036011669,2.0,6765,401122.5
236,0.052071501147251106,1.0,6836,305436.0
237,0.04792181917361621,1.0,6823,370159.0
238,0.06117801033146444,1.0,6482,402979.0
239,0.05952142119491254,1.0,6001,464801.0
240,0.06368096576384731,1.0,5509,519897.5
241,0.06005249622966439,1.0,5286,561224.5
242,0.059460793320759285,1.0,5052,604068.0
243,0.05323767571508244,1.0,4895,659904.0
244,0.05203637709147858,1.0,4875,695520.5
245,0.05075961515761403,1.0,4541,739691.0
246,0.04972123166517075,1.0,4566,762917.5
247,0.0587522050901164,1.0,4941,726108.0
248,0.04615890644717856,1.0,4883,723238.0
249,0.03368666257966851,1.0,4861,735612.0
250,0.04952518813304839,1.0,4786,761724.5
251,0.04428082354911567,1.0,4619,783017.5
252,0.05601079970290808,1.0,4559,770701.0
253,0.06448633465982763,1.0,4488,784642.0
254,0.06381796473200806,1.0,4355,791467.5
255,0.062062925614243335,1.0,4116,795360.0
256,0.07004178634387692,1.0,4280,789178.0
257,0.06815964425657044,1.0,3938,804951.0
258,0.06676532544738568,1.0,4021,784614.0
259,,1.0,3945,795202.0
260,,1.0,3391,836136.0
261,,1.0,3188,989748.5
262,0.12212820715681119,4.0,2560,1075312.0
263,0.12290860492732017,1.0,2761,1075895.5
264,0.09264484869881545,1.0,3182,1094208.0
265,0.04823370417159835,1.0,3106,1098866.0
266,0.06797879552131351,1.0,3169,826860.0
267,0.01889725589578744,1.0,5079,627685.0
268,,1.0,5529,534405.5
269,0.14236033096992562,2.0,5116,575797.5
270,0.30987174038952103,1.0,4196,689572.0
271,0.3494942727601405,1.0,3625,842494.0
272,0.4509788573211548,1.0,3532,894898.0
273,0.3675854606429363,1.0,3351,957337.5
274,0.23153633014204614,1.0,3363,1085733.0
275,0.174579406387686,1.0,3365,1168986.5
276,0.22321331637613664,1.0,4202,799006.5
277,0.030299164257310465,1.0,3335,873001.5
278,0.0187695914942995,1.0,4046,817094.0
279,,1.0,3973,1173749.5
280,0.18449977469337622,2.0,2840,1217850.5
281,0.059639445412645035,1.0,1521,1338205.0
282,0.197436364940522,1.0,2112,1296291.5
283,,1.0,2398,1220548.5
284,0.2625445786718166,2.0,3417,1085785.0
285,0.22935122225837037,1.0,3950,797992.5
286,0.18973607130642506,1.0,4233,677711.5
287,0.1343465185344267,1.0,3652,741491.0
288,0.07148714346515006,1.0,4202,771615.0
289,0.07914136284592384,1.0,4629,732789.5
290,0.06774205132995013,1.0,4739,650512.0
291,0.058070482466801535,1.0,4331,668042.5
292,0.07174875905081012,1.0,4714,599108.0
293,0.052145467880837626,1.0,5179,465046.0
294,,1.0,4317,493629.0
295,,1.0,4940,357593.0
296,,1.0,4821,419140.0
297,0.1610492512084028,4.0,4762,345915.0
298,0.17979606189041647,1.0,4838,472243.0
299,0.20090734871331867,1.0,4905,384781.5
300,,1.0,5329,504732.5
301,,1.0,4053,835379.0
302,,1.0,3184,1025648.0
303,,1.0,4932,420187.5
304,,1.0,5983,227584.5
305,,1.0,4993,555177.5
306,,1.0,5428,482031.5
307,0.0912033798021626,8.0,5709,292317.0
308,,8.0,6049,302270.5
309,,8.0,6317,313245.5
310,0.12931909364696018,3.0,5894,657102.5
311,0.11359234836354934,1.0,5539,692569.0
312,0.13486029674379688,1.0,5615,752702.5
313,0.15532922031837423,1.0,5660,728581.0
314,0.1741967966735096,1.0,6146,299116.5
315,0.16628417204634105,1.0,5611,707155.5
316,0.12289404574892554,1.0,5375,586385.5
317,0.11752528090136817,1.0,5506,373925.0
318,0.15197077039732687,1.0,5454,290802.5
319,0.2172226400408924,1.0,5040,299498.5
320,0.16315904512272938,1.0,5105,504239.0
321,,1.0,5244,471860.0
322,0.08160700241389289,2.0,5408,432246.5
323,0.15273804168787872,1.0,5335,384513.5
324,0.18936328102408434,1.0,5157,430607.5
325,0.19004305556569187,1.0,5241,443890.5
326,0.19260453756685803,1.0,5121,541369.5
327,0.21659821294318338,1.0,4554,223997.5
328,,1.0,3944,963870.0
329,0.23715349915852116,2.0,5069,475672.5
330,0.19928592394691808,1.0,5105,501098.5
331,,1.0,4215,933914.0
332,0.25400307989905363,2.0,3550,999795.0
333,0.24474009181244116,1.0,3876,950459.0
334,0.2205254012699626,1.0,3842,960620.0
335,0.2262685452825934,1.0,4017,932155.5
336,0.1843160975121308,1.0,4496,994842.0
337,0.2177257661031989,1.0,4601,639335.0
338,0.2583012178603234,1.0,4674,712575.0
339,0.30940191181899385,1.0,4200,687470.0
340,0.39480475933460984,1.0,4454,727882.5
341,0.33980340374736423,1.0,4469,859762.5
342,0.2636469391786146,1.0,4566,729157.0
343,0.2373882693250392,1.0,4650,840142.0
344,0.12728407973800074,1.0,4307,823671.0
345,,1.0,4070,959967.5
346,0.19366265536771718,2.0,4268,935670.0
347,0.1302691264985157,1.0,3919,956010.5
348,0.11188299536276924,1.0,4003,773673.5
349,0.1049618887423012,1.0,4223,944699.0
350,0.12365374596892022,1.0,3361,973823.0
351,0.13277304746124022,1.0,4922,726863.5
352,0.14055047305147597,1.0,5071,755547.0
353,,1.0,4253,933280.5
354,0.22281411551771563,2.0,3782,1063943.0
355,0.11140713875647355,1.0,3424,1024288.0
356,,1.0,3871,916374.5
357,,1.0,4074,767567.5
358,,1.0,4157,677264.5
359,,1.0,4363,1052705.0
360,,1.0,3069,1172559.0
361,,1.0,5643,664405.0
362,,1.0,4916,547212.5
363,,1.0,4447,837730.5
364,0.02367063011497438,9.0,5178,398041.0
365,,9.0,5311,238887.5
366,0.2598626326575272,2.0,5443,447571.0
367,0.27680997710388805,1.0,6536,456244.0
368,0.274624238127044,1.0,6109,567031.0
369,0.17036490413079233,1.0,6000,446276.0
370,0.17915921481735894,1.0,5864,466670.0
371,0.16987990518676435,1.0,5685,436448.0
372,0.19359933321924705,1.0,5900,223716.5
373,0.20584231783309592,1.0,6085,358750.0
374,0.22221697317727138,1.0,5669,375015.5
375,0.2248863040984719,1.0,5444,391342.5
376,0.20484847174470486,1.0,5228,410797.5
377,0.19168225887552715,1.0,5906,268600.0
378,0.1608225550913912,1.0,6053,284200.0
379,0.14863041550641984,1.0,5749,482138.5
380,0.12637818800761594,1.0,5924,341368.0
381,0.12399527591690092,1.0,5623,395480.0
382,0.12573235102066285,1.0,5966,261565.5
383,0.12411543454503551,1.0,5638,476301.0
384,0.07966628128459702,1.0,4573,539439.0
385,0.10493250091261105,1.0,4652,818602.0
386,0.20554457267397075,1.0,4659,821713.5
387,,1.0,4301,912772.5
388,,1.0,4839,798443.5
389,0.07490783640588784,3.0,5028,541975.0
390,0.040393672166451844,1.0,4648,760974.0
391,0.13762583314629545,1.0,5408,549698.0
392,0.15100435985086705,1.0,4948,766792.5
393,0.0947123186779356,1.0,4772,827777.5
394,0.1202543215731282,1.0,5004,841324.0
395,,1.0,5074,828143.0
396,,1.0,5321,594914.5
397,0.07689653492753476,3.0,5293,794711.5
398,0.052497796138530096,1.0,4941,739811.5
399,0.0491148735063624,1.0,5143,795503.5
400,0.05148329958955594,1.0,5280,715236.5
401,0.09192053601427941,1.0,6171,555100.5
402,0.07002372632786485,1.0,5759,588948.0
403,0.1191824654916565,1.0,5814,483656.0
404,0.09886813193169638,1.0,5852,543715.5
